Name,General Category,Category _1,Detailed_Category,website,Contact Number,address,Suburb,postalCode,location/lat,location/lng,Monday Opening hours,Tuesday Opening hours,Wednesday Opening hours,Thursday Opening hours,Friday Opening hours,Saturday Opening hours,Sunday Opening hours,Google Review Score,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,categories,rank,countryCode,state,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,cid,isAdvertisement,locatedIn,menu,neighborhood,orderBy/0/name,orderBy/0/orderUrl,orderBy/0/url,permanentlyClosed,placeId,plusCode,price,scrapedAt,searchPageUrl,searchString,street,subTitle,temporarilyClosed,url
Parliament House,Tourist attraction,Tourist attraction,Government office,https://www.parliament.vic.gov.au/,+61 3 9651 8911,"Spring St, East Melbourne VIC 3002, Australia",East Melbourne,3002,-37.8110469,144.973821,8:30am - 5:30pm,8:30am - 5:30pm,8:30am - 5:30pm,8:30am - 5:30pm,8:30am - 5:30pm,Closed,Closed,4.1,359,198,91,38,26,6,,32,AU,Victoria,Government office,,,,,,,,4.41E+18,FALSE,,,Spring St,,,,FALSE,ChIJRcbPosdC1moRYyLtUecFPD0,"5XQF+HG East Melbourne, Victoria, Australia",,2022-10-07T15:43:37.675Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,Spring St,,FALSE,"https://www.google.com/maps/place/Parliament+House/@-37.8110469,144.973821,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642c7a2cfc645:0x3d3c05e751ed2263!8m2!3d-37.8110469!4d144.973821?hl=en"
Nicholas Building,Tourist attraction,Tourist attraction,Heritage building,http://thenicholasbuilding.blogspot.com.au/,+61 3 9654 3222,"37 Swanston St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8167088,144.9667771,,,,,,,,4.5,116,73,30,2,10,1,,37,AU,Victoria,Heritage building,,,,,,,,1.60E+19,FALSE,,,37 Swanston St,,,,FALSE,ChIJoQX-l7ZC1moReO1Gi_6qJ94,"5XM8+8P Melbourne, Victoria, Australia",,2022-10-07T15:42:59.925Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,37 Swanston St,,FALSE,"https://www.google.com/maps/place/Nicholas+Building/@-37.8167088,144.9667771,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b697fe05a1:0xde27aafe8b46ed78!8m2!3d-37.8167088!4d144.9667771?hl=en"
Chinatown Melbourne,Tourist attraction,Tourist attraction,Historical landmark,http://chinatownmelbourne.com.au/,+61 474 043 600,"Little Bourke St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.812006,144.9668036,,,,,,,,4.2,4963,2482,1516,105,717,143,,11,AU,Victoria,Historical landmark,,,,,,,,1.77E+19,FALSE,,,Little Bourke St,,,,FALSE,ChIJczgQh8lC1moR9r9gP44FRvY,"5XQ8+5P Melbourne, Victoria, Australia",$$$$,2022-10-07T15:46:11.408Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,Little Bourke St,,FALSE,"https://www.google.com/maps/place/Chinatown+Melbourne/@-37.812006,144.9668036,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642c987103873:0xf646058e3f60bff6!8m2!3d-37.8120144!4d144.9668075?hl=en"
Melbourne Skydeck,Tourist attraction,Tourist attraction,Observation deck,http://www.melbourneskydeck.com.au/,+61 3 9693 8888,"7 Riverside Quay, Southbank VIC 3006, Australia",Southbank,3006,-37.8213341,144.9646982,12pm - 10pm,12pm - 10pm,12pm - 10pm,12pm - 10pm,12pm - 10pm,12pm - 10pm,12pm - 10pm,4.5,12053,7934,2969,158,828,164,,5,AU,Victoria,Observation deck,,,,,,,,3.41E+18,FALSE,,,7 Riverside Quay,,,,FALSE,ChIJQffkhK1C1moR3Z0-w-t8SS8,"5XH7+FV Southbank, Victoria, Australia",,2022-10-07T15:46:58.779Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,7 Riverside Quay,,FALSE,"https://www.google.com/maps/place/Melbourne+Skydeck/@-37.8213341,144.9646982,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642ad84e4f741:0x2f497cebc33e9ddd!8m2!3d-37.8213341!4d144.9646982?hl=en"
Arts Centre Melbourne,Tourist attraction,Tourist attraction,Performing arts theater,https://www.artscentremelbourne.com.au/,+61 1300 182 183,"100 St Kilda Rd, Melbourne VIC 3004, Australia",Melbourne,3004,-37.820183,144.9681048,,,,,,,,4.7,6682,4849,1497,43,256,37,,47,AU,Victoria,Art center,Arts organization,Concert hall,Cultural center,Performing arts theater,,,,7.96E+18,FALSE,,,100 St Kilda Rd,,,,FALSE,ChIJnQPwmx1o1moRRg1EsLKXbm4,"5XH9+W6 Melbourne, Victoria, Australia",,2022-10-07T15:41:37.978Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,100 St Kilda Rd,,FALSE,"https://www.google.com/maps/place/Arts+Centre+Melbourne/@-37.820183,144.9681048,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad6681d9bf0039d:0x6e6e97b2b0440d46!8m2!3d-37.820183!4d144.9681048?hl=en"
State Library Victoria,Tourist attraction,Tourist attraction,Public library,https://www.slv.vic.gov.au/,+61 3 8664 7000,"328 Swanston St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8098087,144.9651897,10am - 6pm,10am - 6pm,10am - 6pm,10am - 6pm,10am - 6pm,10am - 6pm,10am - 6pm,4.7,2138,1736,303,43,45,11,,23,AU,Victoria,Art gallery,Library,Public library,,,,,,1.74E+19,FALSE,,,328 Swanston St,,,,FALSE,ChIJ6RxLlctC1moReA6DqUtnh_E,"5XR8+33 Melbourne, Victoria, Australia",$$$$,2022-10-07T15:44:43.728Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,328 Swanston St,,FALSE,"https://www.google.com/maps/place/State+Library+Victoria/@-37.8098087,144.9651897,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642cb954b1ce9:0xf187674ba9830e78!8m2!3d-37.8098087!4d144.9651897?hl=en"
Spirit Of Melbourne Cruising Restaurant,Tourist attraction,Tourist attraction,Restaurant,http://www.melbcruises.com.au/,+61 3 8610 2600,"Southbank Promenade, Southbank Berth 1, Melbourne VIC 3006, Australia",Melbourne,3006,-37.8199496,144.9655336,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,10am - 5pm,9am - 5pm,4.4,128,87,25,10,3,3,,54,AU,Victoria,Restaurant,,,,,,,,1.17E+19,FALSE,,,"Southbank Promenade, Southbank Berth 1",melbcruises.com.au,https://www.melbcruises.com.au/spirit-of-melbourne-cruisingrestaurant.html,melbcruises.com.au,FALSE,ChIJDVZTyLNC1moRm8_kwadoR6I,"5XJ8+26 Melbourne, Victoria, Australia",,2022-10-07T15:41:09.550Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,"Southbank Promenade, Southbank Berth 1",,FALSE,"https://www.google.com/maps/place/Spirit+Of+Melbourne+Cruising+Restaurant/@-37.8199496,144.9655336,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b3c853560d:0xa24768a7c1e4cf9b!8m2!3d-37.8199496!4d144.9655336?hl=en"
Cooks' Cottage,Tourist attraction,Tourist attraction,Tourist attraction,https://whatson.melbourne.vic.gov.au/things-to-do/cooks-cottage,+61 3 9658 9658,"Fitzroy Gardens, Wellington Parade, East Melbourne VIC 3002, Australia",East Melbourne,3002,-37.8144963,144.9794409,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,4.3,1523,795,446,26,212,44,,26,AU,Victoria,Historical landmark,,,,,,,,1.76E+19,FALSE,Fitzroy Gardens,,"Fitzroy Gardens, Wellington Parade",,,,FALSE,ChIJFf1Da8FC1moR7xVAiUvPufQ,"5XPH+6Q East Melbourne, Victoria, Australia",,2022-10-07T15:44:22.980Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,"Fitzroy Gardens, Wellington Parade",,FALSE,"https://www.google.com/maps/place/Cooks'+Cottage/@-37.8144963,144.9794409,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642c16b43fd15:0xf4b9cf4b894015ef!8m2!3d-37.8144963!4d144.9794409?hl=en"
Melbourne River Cruises,Tourist attraction,Tourist attraction,Tourist attraction,https://www.melbcruises.com.au/,+61 3 8610 2600,"Berth 2, Southbank Promenade, Southbank VIC 3006, Australia",Southbank,3006,-37.8199185,144.965806,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,10am - 3pm,10am - 3pm,4.3,740,446,163,39,73,19,,44,AU,Victoria,Boat rental service,Boat tour agency,Cruise agency,,,,,,2.42E+18,FALSE,,,"Berth 2, Southbank Promenade",,,,FALSE,ChIJOyHy3bJC1moRWbMWHWw2piE,"5XJ8+28 Southbank, Victoria, Australia",,2022-10-07T15:42:01.076Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,"Berth 2, Southbank Promenade",,FALSE,"https://www.google.com/maps/place/Melbourne+River+Cruises/@-37.8199185,144.965806,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b2ddf2213b:0x21a6366c1d16b359!8m2!3d-37.8199185!4d144.965806?hl=en"
Shrine of Remembrance,Tourist attraction,Tourist attraction,War memorial,http://www.shrine.org.au/,+61 3 9661 8100,"Birdwood Ave, Melbourne VIC 3001, Australia",Melbourne,3001,-37.8305164,144.9734319,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,4.8,6147,4971,992,12,147,25,,6,AU,Victoria,Attraction,Memorial park,War memorial,,,,,,6.89E+18,FALSE,Kings Domain,,Birdwood Ave,,,,FALSE,ChIJGSSIDKZC1moRisWTaYaaq18,"5X9F+Q9 Melbourne, Victoria, Australia",,2022-10-07T15:46:49.843Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,Birdwood Ave,,FALSE,"https://www.google.com/maps/place/Shrine+of+Remembrance/@-37.8305164,144.9734319,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642a60c882419:0x5fab9a866993c58a!8m2!3d-37.8305164!4d144.9734319?hl=en"
Flinders Street Railway Station,Train station,Tourist attraction,Train station,https://www.ptv.vic.gov.au/,+61 3 9610 7476,"Flinders St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8182711,144.9670618,,,,,,,,4.4,1906,1148,501,60,155,42,,40,AU,Victoria,,,,,,,,,1.64E+19,FALSE,,,Flinders St,,,,FALSE,ChIJSSKDr7ZC1moRTsSnSV5BnuM,"5XJ8+MR Melbourne, Victoria, Australia",$$$$,2022-10-07T15:42:42.723Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,Flinders St,,FALSE,"https://www.google.com/maps/place/Flinders+Street+Railway+Station/@-37.8182711,144.9670618,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b6af832249:0xe39e415e49a7c44e!8m2!3d-37.8182711!4d144.9670618?hl=en"
SEA LIFE Melbourne Aquarium,Tourist attraction,Zoo & Aquarium,Aquarium,https://www.visitsealife.com/melbourne/?utm_source=gmb&utm_medium=organic&utm_campaign=yext&utm_content=2,,"King St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.820627,144.95822,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,9:30am - 5pm,9:30am - 5pm,4.3,12774,7144,3641,323,1297,369,,10,AU,Victoria,Event venue,Aquarium,,,,,,,1.63E+19,FALSE,,,King St,,,,FALSE,ChIJ_QzhcE1d1moR9rtoKagNPOI,"5XH5+P7 Melbourne, Victoria, Australia",,2022-10-07T15:46:13.059Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,King St,,FALSE,"https://www.google.com/maps/place/SEA+LIFE+Melbourne+Aquarium/@-37.8207879,144.9583193,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d4d70e10cfd:0xe23c0da82968bbf6!8m2!3d-37.820627!4d144.95822?hl=en"
Melbourne Zoo,Zoo,Zoo & Aquarium,Zoo,https://www.zoo.org.au/melbourne,+61 1300 966 784,"Elliott Ave, Parkville VIC 3052, Australia",Parkville,3052,-37.7841346,144.9515473,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,4.4,4038,2709,770,224,230,105,,13,AU,Victoria,Animal hospital,Learning center,Zoo,Wildlife park,Wildlife rescue service,,,,1.31E+19,FALSE,,,Elliott Ave,,,,FALSE,ChIJl4pG29Bc1moRisNvMITeH7Y,"6X82+8J Parkville, Victoria, Australia",,2022-10-07T15:45:55.521Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,Elliott Ave,,FALSE,"https://www.google.com/maps/place/Melbourne+Zoo/@-37.7841346,144.9515473,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65cd0db468a97:0xb61fde84306fc38a!8m2!3d-37.7841346!4d144.9515473?hl=en"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
