name,categoryName,website,phone,address,Suburb,state,countryCode,postalCode,location/lat,location/lng,totalScore,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar
Quincy Hotel Melbourne,Hotel,https://quincymelbourne.com/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=quincy-melbourne,+61 3 9492 7400,"509 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8195657,144.9569817,4.4,134,94,17,5,12,6
SoYa Apartment Hotel,Hotel,http://www.soyahotel.com.au/,+61 3 9820 0377,"4 Darling St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8383296,144.9917737,4.5,128,95,20,5,5,3
Zagame's House,Hotel,https://www.zagameshouse.com.au/,+61 3 9084 7777,"66 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8050872,144.9664756,4.5,128,100,12,5,7,4
Quest Prahran,Serviced accommodation,https://www.questapartments.com.au/properties/vic/south-yarra/quest-prahran/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=questprahran,+61 3 9823 8888,"9 Balmoral St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8458191,144.9909759,4.2,128,63,44,8,9,4
Shadow Play Melbourne by Peppers,Hotel,https://all.accor.com/hotel/B456/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjA3MTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 7004 0400,"308 320 City Rd, Southbank VIC 3000, Australia",Southbank,Victoria,AU,3000,-37.827077,144.9580856,4.3,126,89,16,10,6,5
Birches Serviced Apartments,Serviced accommodation,https://www.birches.com.au/,+61 3 9417 2344,"160 Simpson St, East Melbourne VIC 3002, Australia",East Melbourne,Victoria,AU,3002,-37.8105772,144.9890597,4,122,57,35,10,15,5
Next Hotel Melbourne,Hotel,https://nexthotelmelbourne.com/,+61 3 9118 3333,"103 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8134213,144.9703466,4.6,119,94,12,6,5,2
Turnkey Accommodation,Serviced accommodation,http://www.turnkeyaccommodation.com.au/,+61 3 8615 7400,"33 Blackwood St, North Melbourne VIC 3051, Australia",North Melbourne,Victoria,AU,3051,-37.8006602,144.9555829,4.8,115,101,12,1,0,1
ACD Apartments,Hotel,http://acdapartments.com.au/,+61 3 9670 6611,"7 Caravel Ln, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8140176,144.9419352,4,102,52,24,14,9,3
Mövenpick Hotel Melbourne On Spencer,Hotel,https://all.accor.com/hotel/B6L9/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MjI3MDQ1ODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9600 5400,"160 Spencer St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8174381,144.9536554,4.4,101,67,21,5,6,2
Adina Apartment Hotel Melbourne Southbank,Hotel,https://www.adinahotels.com/en/apartments/melbourne-southbank/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=adina-melbourne-southbank,+61 3 9491 6100,"99 City Rd, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8225593,144.9647827,4.5,100,73,12,5,8,2
Clay Oven Pizza,Restaurant & Bar,https://www.clayovenpizza.com.au/,+61 435 570 130,"501 Macaulay Rd, Kensington VIC 3031, Australia",Kensington,Victoria,AU,3031,-37.794493,144.9293896,4.8,265,239,16,7,3,0
Rick's Place - Italian/Modern Australian Seafood Cafe/Restaurant,Restaurant & Bar,http://www.ricksplace.com.au/,+61 3 9376 2112,"507 Macaulay Rd, Kensington VIC 3031, Australia",Kensington,Victoria,AU,3031,-37.7944459,144.9292519,4.8,260,238,10,7,5,0
Shadowboxer Bar & Kitchen,Restaurant & Bar,http://shadowboxer.bar/,+61 3 9041 7707,"302 Toorak Rd, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8398818,144.9974743,4.8,210,181,26,0,2,1
Hemingway's Wine Room,Restaurant & Bar,http://www.hemingwayswineroom.com.au/,+61 3 9416 5064,"150 Wellington Parade, East Melbourne VIC 3002, Australia",East Melbourne,Victoria,AU,3002,-37.816106,144.984947,4.8,104,91,9,1,0,3
Palermo Restaurant,Restaurant & Bar,https://www.palermo.melbourne/?utm_source=google&utm_medium=gmb,+61 3 9002 1600,"401 Little Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.813901,144.960994,4.7,1186,928,177,18,45,18
Eureka 89 Dining & Events - Fine Dining Restaurant Melbourne,Restaurant & Bar,http://www.eureka89.com.au/,+61 3 9693 8889,"Level 89, Eureka Tower, 7 Riverside Quay, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.821413,144.964471,4.7,803,666,86,18,17,16
Farmer's Daughters,Restaurant & Bar,http://farmersdaughters.com.au/,+61 3 9116 8682,"95 Exhibition Street, 80 Collins Precinct, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8135661,144.9710402,4.7,712,591,72,14,22,13
IKKAI - Melbourne CBD,Restaurant & Bar,https://ikkai.com.au/,+61 3 9639 6021,"Shop 19/235 -251 Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8141364,144.9665395,4.7,658,565,48,16,18,11
Cosi Bar Ristorante since 1996,Restaurant & Bar,http://cosirestaurant.com.au/,+61 3 9867 3999,"68 Toorak Rd, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8387992,144.9888325,4.7,458,380,46,10,19,3
The Tippler & Co.,Restaurant & Bar,http://www.thetipplerandco.com/,+61 3 7008 4286,"58 Wellington Parade, East Melbourne VIC 3002, Australia",East Melbourne,Victoria,AU,3002,-37.8165593,144.9882401,4.7,352,260,75,5,8,4
Railway Club Hotel,Restaurant & Bar,http://www.railwayclubhotel.com.au/,+61 3 9645 1661,"107 Raglan St, Port Melbourne VIC 3207, Australia",Port Melbourne,Victoria,AU,3207,-37.8337664,144.9443284,4.6,1641,1170,331,30,84,26
Milk the Cow Licensed Fromagerie,Bar,http://milkthecow.com.au/,+61 3 9348 4771,"323 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.7977766,144.967154,4.6,955,718,147,34,33,23
The Drunken Poet,Bar,http://www.thedrunkenpoet.com.au/,+61 3 9348 9797,"65 Peel St, West Melbourne VIC 3003, Australia",West Melbourne,Victoria,AU,3003,-37.8066667,144.9555556,4.6,721,510,163,3,39,6
Lamaro's Hotel,Bar,http://www.lamaroshotel.com.au/,+61 3 9690 3737,"273-279 Cecil St, South Melbourne VIC 3205, Australia",South Melbourne,Victoria,AU,3205,-37.838469,144.9605841,4.6,600,462,88,15,25,10
Steer Dining Room Restaurant,Restaurant & Bar,http://www.steerdiningroom.com.au/,+61 3 9827 1891,"15 Claremont St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8376944,144.993575,4.6,413,302,80,5,19,7
Middle South East Cafe,Restaurant & Bar,http://middlesoutheast.com.au/,+61 3 9824 0093,"670 Chapel St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8371755,144.9963714,4.6,326,252,48,10,10,6
Omnia Bistro & Bar,Restaurant & Bar,http://www.omniabistro.com.au/,+61 3 8080 8080,"625 Chapel St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8391244,144.9954401,4.6,294,218,46,8,15,7
Hotel Spencer Bar & Grill,Restaurant & Bar,http://www.hotelspencer.com.au/,+61 414 950 090,"475 Spencer St, West Melbourne VIC 3003, Australia",West Melbourne,Victoria,AU,3003,-37.8095201,144.9492945,4.6,206,145,44,3,9,5
"Treviso Bar, Dining & Wine Store",Restaurant & Bar,http://www.treviso.com.au/,+61 3 9670 8833,"4-10 Bank Pl, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8167,144.960526,4.6,148,103,30,0,14,1
Maha Restaurant,Restaurant & Bar,http://maharestaurant.com.au/,+61 3 9629 5900,"21 Bond St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8181528,144.962662,4.5,1720,1282,250,58,72,58
B'Churrasco Brazilian BBQ Restaurant Melbourne,Restaurant & Bar,http://bchurrasco.com.au/,+61 3 8060 4770,"61 A'Beckett St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8091463,144.9616548,4.5,1466,1034,274,35,88,35
Green Man's Arms,Restaurant & Bar,https://greenmansarms.com.au/,+61 3 9347 7419,"418 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.7969415,144.9678097,4.5,742,499,161,18,47,17
Trattoria Emilia,Restaurant & Bar,https://www.emiliamelbourne.com.au/,+61 3 9670 7214,"360 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.815333,144.9626731,4.5,703,465,163,16,45,14
Prince Alfred Hotel,Restaurant & Bar,http://www.princealfred.com.au/,+61 3 9676 9643,"level 1/355 Bay St, Port Melbourne VIC 3207, Australia",Port Melbourne,Victoria,AU,3207,-37.8354083,144.9449692,4.5,671,454,138,30,38,11
Capitano Carlton,Restaurant & Bar,http://www.capitano.com.au/,+61 3 9134 8555,"421 Rathdowne St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.796498,144.970434,4.5,621,430,116,20,37,18
Town Hall Hotel,Restaurant & Bar,http://townhallhotelnorthmelbourne.com.au/,+61 3 9328 1983,"33 Errol St, North Melbourne VIC 3051, Australia",North Melbourne,Victoria,AU,3051,-37.8042312,144.9491903,4.5,620,406,143,16,43,12
Caffe e Cucina,Restaurant & Bar,http://caffeecucina.com.au/,+61 3 9827 4139,"581 Chapel St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8401884,144.9952627,4.5,607,442,96,21,30,18
Meatworksco,Restaurant & Bar,https://meatworks.co/,+61 3 9041 5727,"28/30 Ross St, South Melbourne VIC 3205, Australia",South Melbourne,Victoria,AU,3205,-37.8299329,144.9597066,4.5,546,368,115,14,36,13
Half Acre,Restaurant & Bar,https://www.halfacre.com.au/,+61 3 9999 1191,"112 Munro St, South Melbourne VIC 3205, Australia",South Melbourne,Victoria,AU,3205,-37.8297843,144.9451904,4.5,545,397,75,25,30,18
Saporito Taquito,Restaurant & Bar,http://www.saporitotaquito.com/,+61 478 730 761,"16 Kavanagh St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8227143,144.9663706,4.5,413,317,46,23,15,12
Hello José,Restaurant & Bar,http://www.hellojose.com.au/,+61 3 9326 3934,"85 Peel St, West Melbourne VIC 3003, Australia",West Melbourne,Victoria,AU,3003,-37.8061901,144.9556069,4.5,410,293,66,19,23,9
The Clare Castle,Restaurant & Bar,http://www.theclarecastle.com/,+61 3 9646 4588,"354 Graham St, Port Melbourne VIC 3207, Australia",Port Melbourne,Victoria,AU,3207,-37.8366326,144.9360196,4.5,346,239,69,6,24,8
The Espressonist,Cafe & Bar,/url?q=http://the-espressonist.com/&sa=U&ved=0ahUKEwjryf7JlM76AhXSrokEHS5YCeAQ61gIGigQ&usg=AOvVaw166X1t0Dc5z2bYW_ToDz_B,+61 426 422 774,"108 River Esplanade, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8241558,144.9431793,4.5,293,205,46,12,24,6
Paris Go Bistro,Restaurant & Bar,http://www.parisgo.com.au/,+61 3 9347 7507,"116 Rathdowne St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.7969462,144.9708724,4.5,267,190,51,5,12,9
The Moat,Restaurant & Bar,https://www.themoat.com.au/,+61 3 9094 7820,"176 Little Lonsdale St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.810162,144.9653789,4.5,246,154,61,3,22,6
North Port Hotel,Restaurant & Bar,https://www.northporthotel.com.au/,+61 3 9119 5696,"146 Evans St, Port Melbourne VIC 3207, Australia",Port Melbourne,Victoria,AU,3207,-37.8325357,144.9433894,4.5,217,151,44,7,12,3
Three Crowns Hotel,Restaurant & Bar,http://www.threecrownshotel.com.au/,+61 3 9326 5033,"365 Victoria St, West Melbourne VIC 3003, Australia",West Melbourne,Victoria,AU,3003,-37.8052968,144.9494732,4.5,150,100,36,8,4,2
Rice Paper Scissors,Restaurant & Bar,http://ricepaperscissors.com.au/,+61 3 9663 9890,"15 Hardware Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8142795,144.9614222,4.4,2101,1409,420,82,131,59
Cumulus Inc.,Restaurant & Bar,http://cumulusinc.com.au/,+61 3 9650 1445,"45 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8149132,144.9731229,4.4,1737,1122,396,44,118,57
Hochi Mama,Restaurant & Bar,https://hochimama.melbourne/cbd/,+61 3 9078 2285,"35 Little Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.81076,144.9717076,4.4,1710,1108,346,91,121,44
PJ O'Brien's Irish Pub,Bar,http://www.pjobriens.com.au/southbank/,+61 3 9686 5011,"G14 / 15, 16/3 Southgate Ave, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8203722,144.9659504,4.4,1503,864,422,44,141,32
Bombabar,Restaurant & Bar,https://bombabar.com.au/,+61 3 9650 5778,"103 Lonsdale St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8104041,144.9691967,4.4,1469,862,422,26,129,30
Meatmaiden,Restaurant & Bar,http://www.meatmaiden.com.au/,+61 3 9078 7747,"195 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8140895,144.9677883,4.4,1453,960,294,53,101,45
Ponyfish Island,Restaurant & Bar,http://www.ponyfishisland.com.au/,,"Evan Walker Bridge, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8198834,144.9650018,4.4,1378,815,420,25,86,32
Florentino,Restaurant & Bar,http://www.florentino.com.au/,+61 3 9662 1811,"80 Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8117469,144.9707872,4.4,1127,710,245,45,81,46
Coda Melbourne,Restaurant & Bar,http://www.codarestaurant.com.au/,+61 3 9650 3155,"Basement/141 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8157661,144.9698897,4.4,910,583,187,37,77,26
The Quiet Man Irish Pub,Restaurant & Bar,http://www.thequietman.com.au/,+61 3 9376 6232,"271 Racecourse Rd, Kensington VIC 3031, Australia",Kensington,Victoria,AU,3031,-37.7884863,144.9322378,4.4,854,544,206,25,63,16
The European,Restaurant & Bar,http://www.theeuropean.com.au/,+61 3 9654 0811,"161 Spring St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8109247,144.9725716,4.4,851,502,236,31,64,18
Trinket Bar Melbourne,Restaurant & Bar,https://www.trinketbar.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=plcid_5339624321541752151,+61 3 9810 0044,"87 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8152624,144.9713399,4.4,843,548,183,33,60,19
Tazio,Restaurant & Bar,https://www.tazio.com.au/,+61 3 9654 9119,"91 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.815375,144.9711894,4.4,726,428,186,18,70,24
48h Pizza e Gnocchi Bar South Yarra,Restaurant & Bar,http://48h.com.au/,+61 3 9824 2573,"373 Malvern Rd, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8474313,144.9991188,4.4,676,452,117,37,44,26
Naughtons Hotel,Bar,http://naughtonshotel.com.au/,+61 3 9347 2255,"43 Royal Parade, Parkville VIC 3052, Australia",Parkville,Victoria,AU,3052,-37.7955778,144.9576444,4.4,561,320,191,9,36,5
Shoya Japanese Restaurant,Restaurant & Bar,http://www.shoya.com.au/,+61 3 9650 0848,"25 Market Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8117556,144.969175,4.4,471,289,118,18,34,12
Uncle Collins Street,Restaurant & Bar,http://www.unclerestaurants.com.au/,+61 3 9654 0829,"Level 1/15 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8136473,144.9733303,4.4,312,200,74,6,21,11
Saporito Cafe,Cafe,https://saporitocafe.com.au/,+61 3 9696 6284,"12-16 Kavanagh St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8227778,144.9663889,4.4,311,211,59,18,17,6
Becco,Restaurant & Bar,http://www.becco.com.au/,+61 3 9663 3000,"25 Crossley St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8113359,144.9710055,4.4,283,187,58,13,17,8
Botswana Butchery Melbourne,Restaurant & Bar,http://www.botswanabutchery.com.au/,+61 3 8375 7300,"66 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8147693,144.9723072,4.4,152,113,12,6,8,13
Brunetti Classico Carlton,Restaurant & Bar,https://brunetticlassico.com.au/,+61 3 7034 7066,"380 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.7980417,144.9678255,4.3,3497,2056,888,177,265,111
Dodee Paidang,Restaurant & Bar,http://www.dodeepaidang.com/,+61 3 9602 4968,"Basement/353 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8158889,144.963113,4.3,2828,1703,718,133,204,70
The Irish Times Pub,Bar,http://www.theirishtimespub.com.au/,+61 3 9642 1699,"427 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8162205,144.9604985,4.3,1481,807,455,51,130,38
Belgian Beer Cafe,Restaurant & Bar,http://www.belgianbeercafemelbourne.com.au/,+61 3 9690 5777,"5 Riverside Quay, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8214975,144.9643633,4.3,1397,685,483,36,159,34
Byblos Bar & Restaurant,Restaurant & Bar,http://byblosbar.com.au/melbourne,+61 3 9614 6400,"18-38 Siddeley St, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8232203,144.9534164,4.3,1103,668,262,65,77,31
Berth,Restaurant & Bar,https://www.berth.com.au/,+61 3 9670 0199,"45 Newquay Promenade, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8151172,144.9418176,4.3,1079,605,321,34,95,24
Captain Melville,Restaurant & Bar,https://www.captainmelville.com.au/,+61 3 9663 6855,"34 Franklin St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.807527,144.9617416,4.3,943,488,326,27,84,18
Il Gambero,Restaurant & Bar,https://ilgambero.com.au/,+61 3 9663 2246,"166 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8032928,144.9667944,4.3,882,497,230,41,81,33
The Meatball & Wine Bar - Flinders Lane,Restaurant & Bar,http://www.meatballandwinebar.com.au/,+61 3 9654 7545,"135 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8156417,144.9700889,4.3,839,480,229,35,65,30
Loop Roof & Loop Top,Restaurant & Bar,http://www.looprooftopbar.com.au/,+61 481 785 190,"3/23 Meyers Pl, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8121761,144.9721901,4.3,760,402,252,25,60,21
The Leveson,Restaurant & Bar,http://www.theleveson.com.au/,+61 3 9328 1109,"46 Leveson St, North Melbourne VIC 3051, Australia",North Melbourne,Victoria,AU,3051,-37.8036893,144.9512784,4.3,662,327,232,16,72,15
Witches In Britches,Restaurant & Bar,https://www.witchesinbritches.com.au/,+61 3 9329 9850,"84 Dudley St, West Melbourne VIC 3003, Australia",West Melbourne,Victoria,AU,3003,-37.808871,144.952557,4.3,655,424,128,37,47,19
Pier Port Melbourne,Restaurant & Bar,http://www.pierportmelbourne.com.au/,+61 3 9646 3990,"1 Bay St, Port Melbourne VIC 3207, Australia",Port Melbourne,Victoria,AU,3207,-37.8428111,144.9380789,4.3,633,345,200,20,46,22
University Cafe,Restaurant & Bar,http://www.universitycafe.com.au/,+61 3 9347 2142,"257 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.7994919,144.9669952,4.3,630,339,184,27,65,15
Speakeasy Kitchen Bar,Restaurant & Bar,http://speakeasybar.com.au/,+61 3 9824 0770,"359 Chapel St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8463542,144.99406,4.3,487,288,121,26,39,13
The Cornerstone,Restaurant & Bar,http://www.thecornerstonepub.com.au/,+61 3 9645 1405,"1 Crockford St, Port Melbourne VIC 3207, Australia",Port Melbourne,Victoria,AU,3207,-37.834618,144.946425,4.3,437,281,83,23,30,20
Mama Rumaan,Restaurant & Bar,,+61 3 8623 9690,"t10/161 Harbour Esplanade, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8167654,144.9434747,4.3,433,274,93,25,30,11
Koko,Restaurant & Bar,https://www.crownmelbourne.com.au/restaurants/premium/koko/info-booking?utm_source=google&utm_medium=organic&utm_content=koko&utm_campaign=gmb,+61 3 9292 5777,"Level 3, Crown Towers, 8 Whiteman St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8220786,144.9598287,4.3,430,273,78,25,34,20
The Posty,Restaurant & Bar,http://www.theposty.com.au/,+61 3 9428 6674,"90 Swan St, Cremorne VIC 3121, Australia",Cremorne,Victoria,AU,3121,-37.8252492,144.9929077,4.3,400,201,142,15,34,8
Jimmy Watson's,Restaurant & Bar,http://jimmywatsons.info/,+61 3 9347 3985,"333 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.7975,144.9672222,4.3,302,174,86,10,25,7
The Deck Southbank,Restaurant & Bar,http://www.thedeckrestaurant.com.au/,+61 3 9699 9544,"UPPER, LEVEL U1/2 Southgate Ave, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8201534,144.9668346,4.3,145,84,37,8,13,3
Pascale Bar & Grill,Restaurant & Bar,https://www.pascalebarandgrill.com.au/,+61 3 8636 8808,"Level 1/133 Russell St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8133323,144.9681618,4.3,144,86,30,8,15,5
Chilangos Mexican Cantina - Docklands,Restaurant & Bar,,+61 3 9112 9450,"855 Collins St, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8214463,144.9437877,4.3,107,59,34,6,7,1
Imperial Hotel,Restaurant & Bar,https://www.bourkestreetimperial.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=plcid_4999112587877517742,+61 3 9810 0062,"2-8 Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8112408,144.9727267,4.2,2801,1267,1005,85,357,87
Rockpool Bar & Grill,Restaurant & Bar,https://rockpoolbarandgrill.com.au/,+61 3 9081 0532,"Crown Casino, 8 Whiteman St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8218482,144.96027,4.2,1590,965,295,131,114,85
Hopscotch Melbourne,Restaurant & Bar,https://www.hopscotchmelbourne.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=plcid_18072388455749531259,+61 3 9810 0099,"Ground Floor, 4 Riverside Quay, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.820722,144.963457,4.2,1575,777,515,59,167,57
Mamasita,Restaurant & Bar,http://www.mamasita.com.au/#home/about,+61 3 9650 3821,"Level 1/11 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.813806,144.973484,4.2,1458,815,350,71,145,77
The Breslin Bar & Grill,Restaurant & Bar,http://breslingrill.com.au/,+61 3 9686 2110,"1 Southbank Blvd, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8208499,144.9629618,4.2,1253,621,397,71,110,54
Network Public Bar & Pizzeria,Restaurant & Bar,/url?q=http://networkpublicbar.com.au/&sa=U&ved=0ahUKEwjJnKDilM76AhXqkIkEHaG9AkwQ61gIHCgQ&usg=AOvVaw0r-y2aRRY3PABWMqjajQqT,+61 458 301 901,"99 Spencer St, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8175473,144.9529846,4.2,1114,561,371,41,111,30
Pier 35 Bar & Grill,Restaurant & Bar,https://www.pier35barandgrill.com.au/,+61 3 9646 0606,"263-329 Lorimer St, Port Melbourne VIC 3207, Australia",Port Melbourne,Victoria,AU,3207,-37.823866,144.9065137,4.2,1087,582,287,57,108,53
The Bank on Collins,Restaurant & Bar,https://thebankoncollins.au/,+61 3 9070 3980,"Ground floor/394 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.816768,144.961161,4.2,901,396,327,19,127,32
The Exchange Hotel,Restaurant & Bar,https://www.theexchangehotel.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=plcid_10306803255869292449,+61 3 9810 0058,"39 Bay St, Port Melbourne VIC 3207, Australia",Port Melbourne,Victoria,AU,3207,-37.841978,144.9388329,4.2,769,393,225,28,94,29
Doutta Galla Hotel,Restaurant & Bar,http://www.douttagallahotel.com/,+61 3 9376 7233,"339 Racecourse Rd, Flemington VIC 3031, Australia",Flemington,Victoria,AU,3031,-37.7883826,144.9297426,4.2,697,343,228,28,78,20
Hardimans Hotel,Bar,http://hardimans.com.au/,+61 3 9372 2666,"521 Macaulay Rd, Kensington VIC 3031, Australia",Kensington,Victoria,AU,3031,-37.794421,144.928354,4.2,688,361,193,34,70,30
Imperial South Yarra,Restaurant & Bar,https://www.imperialsouthyarra.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=plcid_509697143426896053,+61 3 9810 0070,"522 Chapel St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8415365,144.9954142,4.2,592,302,183,27,66,14
El Sabor - Mexican Restaurant,Restaurant & Bar,http://www.elsabor.com.au/,+61 3 9329 9477,"500 Victoria St, North Melbourne VIC 3051, Australia",North Melbourne,Victoria,AU,3051,-37.8049758,144.9496116,4.2,565,331,115,36,47,36
Prince Alfred Rooftop & Bar,Restaurant & Bar,https://www.princealfred.com/,+61 3 9982 1813,"191 Grattan St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8004228,144.9622287,4.2,384,185,122,16,51,10
Stovetop,Cafe,http://www.stovetop.com.au/,+61 3 9347 2010,"108 Leicester St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8033282,144.9606306,4.2,354,190,105,14,30,15
Left Bank Melbourne Restaurant & Cocktail Bar,Restaurant & Bar,https://www.leftbankmelbourne.com.au/?utm_source=google&utm_medium=localbusiness&utm_campaign=website,+61 3 9682 4500,"1 Southbank Blvd, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8210084,144.9628614,4.1,2973,1540,805,190,306,132
Mail Exchange Hotel,Restaurant & Bar,https://mailexchangehotel.com.au/#utm_source=google&utm_medium=organic&utm_campaign=Mail-Exchange-Hotel-Website&utm_content=688-Bourke-St-Melbourne-VIC,+61 3 9903 6880,"688 Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8167985,144.9536878,4.1,2127,977,698,76,301,75
