name,categoryName,website,phone,address,Suburb,state,countryCode,postalCode,location/lat,location/lng,rank,totalScore,Total number of review,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,cid,isAdvertisement,locatedIn,menu,neighborhood,permanentlyClosed,placeId,plusCode,price,scrapedAt,searchPageUrl,searchString,street,subTitle,temporarilyClosed,url
Hotel Collins,Serviced accommodation,http://www.hotelcollinsmelbourne.com.au/,+61 3 9639 1811,"182 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8150134,144.9675035,3,3.7,456,228,66,79,13,52,18,Serviced accommodation,Hotel,,,,,,,,1.14E+19,FALSE,,,182 Collins St,FALSE,ChIJ4zzLEbZC1moRKHBm0EReEJ4,"5XM9+X2 Melbourne, Victoria, Australia",,8/10/2022 1:55,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,182 Collins St,,FALSE,"https://www.google.com/maps/place/Hotel+Collins/@-37.8150134,144.9675035,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642b611cb3ce3:0x9e105e44d0667028!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8150134!4d144.9675035?hl=en"
Causeway 353 Hotel,Hotel,http://www.causeway.com.au/causeway-353-hotel-melbourne,+61 3 9668 1888,"353 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8157805,144.9631265,4,3.9,1246,623,216,241,32,113,21,Hotel,,,,,,,,,6.76E+18,FALSE,,,353 Little Collins St,FALSE,ChIJE1lY77RC1moRQqyQFRPjyl0,"5XM7+M7 Melbourne, Victoria, Australia",,8/10/2022 1:55,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,353 Little Collins St,,FALSE,"https://www.google.com/maps/place/Causeway+353+Hotel/@-37.8157805,144.9631265,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642b4ef585913:0x5dcae3131590ac42!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8157805!4d144.9631265?hl=en"
The Great Southern Hotel,Hotel,http://www.greatsouthernhotel.com.au/,+61 3 9629 6991,"44 Spencer St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8197222,144.955,20,3.7,3362,1681,488,565,165,347,116,Hotel,,,,,,,,,1.40E+19,FALSE,,,44 Spencer St,FALSE,ChIJQzB67FFd1moRhC2tS5kTTMI,"5XJ3+4X Melbourne, Victoria, Australia",,8/10/2022 1:56,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,44 Spencer St,,FALSE,"https://www.google.com/maps/place/The+Great+Southern+Hotel/@-37.8197222,144.955,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d51ec7a3043:0xc24c13994bad2d84!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8197222!4d144.955?hl=en"
YTI Garden Hotel,Hotel,http://www.ytigarden.auhotel.site/,+61 3 9600 4000,"378 Little Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8134773,144.9614874,36,3.5,688,344,82,104,41,88,29,Hotel,,,,,,,,,1.12E+18,FALSE,,,378 Little Bourke St,FALSE,ChIJGTC_M7VC1moRF6vceb9zfQ8,"5XP6+JH Melbourne, Victoria, Australia",,8/10/2022 1:56,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,378 Little Bourke St,,FALSE,"https://www.google.com/maps/place/YTI+Garden+Hotel/@-37.8134773,144.9614874,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642b533bf3019:0xf7d73bf79dcab17!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8135527!4d144.9615226?hl=en"
Lancemore Crossley St.,Hotel,https://www.lancemore.com.au/crossley-st?utm_source=Google%20My%20Business&utm_medium=organic&utm_campaign=Lancemore%20Crossley%20St.%20GMB,+61 3 9639 1639,"51 Little Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8109105,144.9709808,80,4.3,150,75,52,12,5,1,5,Hotel,,,,,,,,,4.93E+18,FALSE,,,51 Little Bourke St,FALSE,ChIJn80wh0xD1moRcGi3N2dHaEQ,"5XQC+J9 Melbourne, Victoria, Australia",,8/10/2022 1:57,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,51 Little Bourke St,,FALSE,"https://www.google.com/maps/place/Lancemore+Crossley+St./@-37.8109105,144.9709808,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad6434c8730cd9f:0x4468476737b76870!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8109027!4d144.9709772?hl=en"
Melbourne Marriott Hotel,Hotel,https://www.marriott.com/hotels/travel/melmc-melbourne-marriott-hotel/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_MjkyMTQyMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+61 3 9662 3900,"Corner Exhibition &, Lonsdale St, Melbourne VIC 3000, Australia",Melbourne,VIC,AU,3000,-37.809947,144.9694324,100,4.3,2396,1198,642,386,32,103,35,Hotel,Meeting planning service,Wedding venue,,,,,,,3.18E+18,FALSE,,,"Corner Exhibition &, Lonsdale St",FALSE,ChIJxxd1K89C1moRdFmmNK5LFyw,"5XR9+2Q Melbourne, Victoria, Australia",,8/10/2022 1:57,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,"Corner Exhibition &, Lonsdale St",,FALSE,"https://www.google.com/maps/place/Melbourne+Marriott+Hotel/@-37.809947,144.9694324,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642cf2b7517c7:0x2c174bae34a65974!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.809947!4d144.9694324?hl=en"
Europa Melbourne,Hostel,http://www.europamelbourne.com.au/,+61 3 9327 2300,"310-314 Queen St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.811394,144.959326,117,3.7,910,455,161,145,47,67,35,Hostel,,,,,,,,,1.29E+19,FALSE,,,310-314 Queen St,FALSE,ChIJaWWjnUpd1moRWKn4im9gE7M,"5XQ5+CP Melbourne, Victoria, Australia",,8/10/2022 1:58,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,310-314 Queen St,,FALSE,"https://www.google.com/maps/place/Europa+Melbourne/@-37.811394,144.959326,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d4a9da36569:0xb313606f8af8a958!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8114047!4d144.9592913?hl=en"
W Melbourne,Hotel,https://www.marriott.com/en-us/hotels/melwh-w-melbourne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+61 3 9113 8800,"408 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.818148,144.960499,112,3.9,534,267,156,33,44,17,17,Hotel,Meeting planning service,Wedding venue,,,,,,,1.81E+18,FALSE,,,408 Flinders Ln,FALSE,ChIJQ8y1Nvtd1moRvV7M4qXFKRk,"5XJ6+P5 Melbourne, Victoria, Australia",,8/10/2022 1:59,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,408 Flinders Ln,,FALSE,"https://www.google.com/maps/place/W+Melbourne/@-37.818148,144.960499,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65dfb36b5cc43:0x1929c5a5e2cc5ebd!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.818148!4d144.960499?hl=en"
Exford Hotel,Sports bar,http://www.exfordhotel.com.au/,+61 3 9663 2697,"199 Russell St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.811781,144.967444,111,4.1,2116,1058,449,379,29,164,37,Sports bar,Hostel,Liquor store,Pub,,,,,,8.29E+18,FALSE,,,199 Russell St,FALSE,ChIJy8vXd8lC1moRXHCwhRF1HXM,"5XQ8+7X Melbourne, Victoria, Australia",,8/10/2022 1:59,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,199 Russell St,,FALSE,"https://www.google.com/maps/place/Exford+Hotel/@-37.811781,144.967444,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642c977d7cbcb:0x731d751185b0705c!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.811781!4d144.967444?hl=en"
The Westin Melbourne,Hotel,https://www.marriott.com/en-us/hotels/melwi-the-westin-melbourne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+61 3 9635 2222,"205 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8155068,144.967508,110,4.5,2598,1299,850,322,36,78,13,Hotel,Meeting planning service,Wedding venue,,,,,,,1.64E+19,FALSE,,,205 Collins St,FALSE,ChIJKacPcrZC1moR3xKhX4R-QuQ,"5XM9+Q2 Melbourne, Victoria, Australia",$$$,8/10/2022 1:59,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,205 Collins St,,FALSE,"https://www.google.com/maps/place/The+Westin+Melbourne/@-37.8155068,144.967508,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642b6720fa729:0xe4427e845fa112df!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8155068!4d144.967508?hl=en"
Adelphi Hotel,Hotel,https://adelphi.com.au/,+61 3 8080 8888,"187 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.816265,144.9683427,109,4.4,856,428,271,110,13,23,11,Hotel,Cafe,Cocktail bar,Outdoor swimming pool,Restaurant,Wine bar,,,,1.79E+19,FALSE,,,187 Flinders Ln,FALSE,ChIJt6dyXLZC1moRiFZMgwIP6fc,"5XM9+F8 Melbourne, Victoria, Australia",$$$,8/10/2022 1:59,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,187 Flinders Ln,,FALSE,"https://www.google.com/maps/place/Adelphi+Hotel/@-37.816265,144.9683427,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642b65c72a7b7:0xf7e90f02834c5688!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.816265!4d144.9683427?hl=en"
Melbourne Central YHA,Hostel,https://www.yha.com.au/hostels/vic/melbourne-hostels/melbourne-central-hostel/?utm_source=google-business&utm_medium=righthandside&utm_campaign=listing,+61 3 9621 2523,"562 Flinders St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8206438,144.9556166,104,4.1,1160,580,268,196,26,70,20,Hostel,Group accommodation,Youth hostel,,,,,,,1.55E+19,FALSE,,,562 Flinders St,FALSE,ChIJq8l3ilFd1moRkF-CPRg7K9c,"5XH4+P6 Melbourne, Victoria, Australia",,8/10/2022 2:00,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,562 Flinders St,,FALSE,"https://www.google.com/maps/place/Melbourne+Central+YHA/@-37.8206438,144.9556166,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d518a77c9ab:0xd72b3b183d825f90!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8206438!4d144.9556166?hl=en"
QT Melbourne,Hotel,https://www.qthotels.com/melbourne/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+61 3 8636 8800,"133 Russell St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8133583,144.9680749,101,4.5,2600,1300,935,228,57,54,26,Hotel,Bar,Motel,Restaurant,,,,,,1.35E+19,FALSE,,,133 Russell St,FALSE,ChIJMSsO6clC1moRs-oGzpxp97o,"5XP9+M6 Melbourne, Victoria, Australia",$$$$$,8/10/2022 2:00,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,133 Russell St,,FALSE,"https://www.google.com/maps/place/QT+Melbourne/@-37.8133583,144.9680749,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642c9e90e2b31:0xbaf7699cce06eab3!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8133583!4d144.9680749?hl=en"
Brady Apartment Hotel Flinders Street,Hotel,http://www.bradyhotels.com.au/flinders-street,+61 499 759 432,"550 Flinders St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.820591,144.9560292,98,4.4,10,5,2,3,0,0,0,Hotel,,,,,,,,,1.60E+19,FALSE,,,550 Flinders St,FALSE,ChIJszlyrWdd1moRtabS8Mosit0,"5XH4+QC Melbourne, Victoria, Australia",,8/10/2022 2:00,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,550 Flinders St,,FALSE,"https://www.google.com/maps/place/Brady+Apartment+Hotel+Flinders+Street/@-37.820591,144.9560292,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d67ad7239b3:0xdd8a2ccaf0d2a6b5!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.820591!4d144.9560292?hl=en"
Flinders Landing Apartments,Serviced accommodation,http://www.flinderslandingapartments.com.au/,+61 3 9652 3333,"161 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8160038,144.969107,97,4.1,270,135,73,33,14,9,6,Serviced accommodation,,,,,,,,,1.66E+19,FALSE,,,161 Flinders Ln,FALSE,ChIJiVt4SbZC1moR4EKVAxEPNeY,"5XM9+HJ Melbourne, Victoria, Australia",,8/10/2022 2:01,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,161 Flinders Ln,,FALSE,"https://www.google.com/maps/place/Flinders+Landing+Apartments/@-37.8160038,144.969107,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642b649785b89:0xe6350f11039542e0!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8160038!4d144.969107?hl=en"
Sheraton Melbourne Hotel,Hotel,https://www.marriott.com/en-us/hotels/melsi-sheraton-melbourne-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+61 3 9290 1000,"27 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8128985,144.9727786,95,4.2,1948,974,558,249,65,77,25,Hotel,Meeting planning service,Wedding venue,,,,,,,7.94E+17,FALSE,,,27 Little Collins St,FALSE,ChIJrWF5JMZC1moRYW16XDWBBAs,"5XPF+R4 Melbourne, Victoria, Australia",$$,8/10/2022 2:01,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,27 Little Collins St,,FALSE,"https://www.google.com/maps/place/Sheraton+Melbourne+Hotel/@-37.8128985,144.9727786,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642c6247961ad:0xb0481355c7a6d61!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8128985!4d144.9727786?hl=en"
Clarion Suites Gateway,Hotel,https://www.choicehotels.com/victoria/melbourne/clarion-hotels/au603?mc=llgoxxap,+61 3 9296 8888,"1 William St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8194702,144.9595028,94,4.3,1058,529,270,169,14,66,10,Hotel,,,,,,,,,1.47E+19,FALSE,,,1 William St,FALSE,ChIJ6_b4FU1d1moRNRyHj71o6ss,"5XJ5+6R Melbourne, Victoria, Australia",,8/10/2022 2:01,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,1 William St,,FALSE,"https://www.google.com/maps/place/Clarion+Suites+Gateway/@-37.8194702,144.9595028,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d4d15f8f6eb:0xcbea68bd8f871c35!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8194702!4d144.9595028?hl=en"
Hyatt Centric Melbourne,Hotel,https://www.hyatt.com/en-US/hotel/australia/hyatt-centric-melbourne/melct?src=corp_lclb_gmb_seo_melct,+61 3 9120 1234,"25 Downie St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8202336,144.9555669,92,4.2,180,90,51,19,3,11,6,Hotel,,,,,,,,,1.38E+19,FALSE,,,25 Downie St,FALSE,ChIJaxp09lFd1moRixjn1iU6cb8,"5XH4+W6 Melbourne, Victoria, Australia",,8/10/2022 2:01,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,25 Downie St,,FALSE,"https://www.google.com/maps/place/Hyatt+Centric+Melbourne/@-37.8202336,144.9555669,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d51f6741a6b:0xbf713a25d6e7188b!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8202336!4d144.9555669?hl=en"
Mantra on Russell Melbourne,Hotel,https://all.accor.com/hotel/B3P4/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjA4ODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9915 2500,"222 Russell St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8112795,144.9679488,89,4.3,1652,826,435,274,16,81,20,Hotel,,,,,,,,,8.06E+18,FALSE,,,222 Russell St,FALSE,ChIJXccYcclC1moRFzEzURPX3m8,"5XQ9+F5 Melbourne, Victoria, Australia",$,8/10/2022 2:02,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,222 Russell St,,FALSE,"https://www.google.com/maps/place/Mantra+on+Russell+Melbourne/@-37.8112795,144.9679488,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642c97118c75d:0x6fded71351333117!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8112795!4d144.9679488?hl=en"
Quincy Hotel Melbourne,Hotel,https://quincymelbourne.com/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=quincy-melbourne,+61 3 9492 7400,"509 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8195657,144.9569817,88,4.4,268,134,94,17,5,12,6,Hotel,,,,,,,,,5.80E+17,FALSE,,,509 Flinders Ln,FALSE,ChIJNeqfjU1d1moR-DH-1Um7DAg,"5XJ4+5Q Melbourne, Victoria, Australia",,8/10/2022 2:02,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,509 Flinders Ln,,FALSE,"https://www.google.com/maps/place/Quincy+Hotel+Melbourne/@-37.8195657,144.9569817,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d4d8d9fea35:0x80cbb49d5fe31f8!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8195657!4d144.9569817?hl=en"
YEHS Melbourne Hotel CBD,Hotel,https://www.melbournehotelcbd.com.au/,+61 3 9672 0000,"600 Little Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8154724,144.9547888,87,4.1,452,226,145,24,32,17,8,Hotel,,,,,,,,,2.11E+17,FALSE,,,600 Little Bourke St,FALSE,ChIJq6r6vk5d1moRXeN4Ch4p7QI,"5XM3+RW Melbourne, Victoria, Australia",,8/10/2022 2:02,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,600 Little Bourke St,,FALSE,"https://www.google.com/maps/place/YEHS+Melbourne+Hotel+CBD/@-37.8154724,144.9547888,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d4ebefaaaab:0x2ed291e0a78e35d!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8154724!4d144.9547888?hl=en"
Adina Apartment Hotel Melbourne on Flinders,Serviced accommodation,https://www.adinahotels.com/en/apartments/melbourne-on-flinders/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=adina-melbourne-on-flinders,+61 3 8663 0000,"88 Flinders St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8159431,144.9716812,85,4.2,602,301,153,91,21,30,6,Serviced accommodation,Holiday apartment rental,Hotel,,,,,,,4.40E+18,FALSE,,,88 Flinders St,FALSE,ChIJXYpH-rdC1moRjrLADKtxDD0,"5XMC+JM Melbourne, Victoria, Australia",,8/10/2022 2:02,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,88 Flinders St,,FALSE,"https://www.google.com/maps/place/Adina+Apartment+Hotel+Melbourne+on+Flinders/@-37.8159431,144.9716812,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642b7fa478a5d:0x3d0c71ab0cc0b28e!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8159431!4d144.9716812?hl=en"
Sofitel Melbourne on Collins,Hotel,https://all.accor.com/hotel/1902/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNTkxNjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9653 0000,"25 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8139965,144.9728921,84,4.5,6392,3196,2099,814,51,180,52,Hotel,,,,,,,,,1.60E+19,FALSE,Collins Place,,25 Collins St,FALSE,ChIJAwLSzMdC1moRLo-qConKZd4,"5XPF+C5 Melbourne, Victoria, Australia",$$$,8/10/2022 2:02,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,25 Collins St,,FALSE,"https://www.google.com/maps/place/Sofitel+Melbourne+on+Collins/@-37.8139965,144.9728921,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642c7ccd20203:0xde65ca890aaa8f2e!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8139965!4d144.9728921?hl=en"
Avani Melbourne Central Residences,Hotel,https://www.avanihotels.com/central-melbourne-residences?utm_source=GoogleMyBusiness&utm_medium=GMB&utm_term=CentralMelbourne&utm_content=Home&utm_campaign=Google_GMB,+61 3 8803 3670,"60 A'Beckett St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8088802,144.9614851,83,4.1,316,158,85,43,19,7,4,Hotel,Holiday apartment rental,Serviced accommodation,,,,,,,4.91E+18,FALSE,,,60 A'Beckett St,FALSE,ChIJNf_lM8tC1moR1sfDaDGBLUQ,"5XR6+CH Melbourne, Victoria, Australia",,8/10/2022 2:02,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,60 A'Beckett St,,FALSE,"https://www.google.com/maps/place/Avani+Melbourne+Central+Residences/@-37.8088802,144.9614851,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642cb33e5ff35:0x442d813168c3c7d6!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8089287!4d144.9615573?hl=en"
Hotel Sophia,Hotel,https://www.hotelsophia.com.au/,+61 3 9081 6635,"277-287 King St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.813675,144.9542,81,2.8,936,468,85,93,135,85,70,Hotel,,,,,,,,,1.36E+19,FALSE,,,277-287 King St,FALSE,ChIJIfX7N0ld1moRGZJPOs6kI7w,"5XP3+GM Melbourne, Victoria, Australia",,8/10/2022 2:03,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,277-287 King St,,FALSE,"https://www.google.com/maps/place/Hotel+Sophia/@-37.813675,144.9542,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d4937fbf521:0xbc23a4ce3a4f9219!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8136511!4d144.9542829?hl=en"
Adina Apartment Hotel Melbourne,Hotel,https://www.adinahotels.com/en/apartments/melbourne/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=adina-melbourne,+61 3 9934 0000,"189 Queen St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8142469,144.9599771,78,4.2,1422,711,335,257,25,69,25,Hotel,Event venue,Holiday apartment rental,Serviced accommodation,,,,,,1.05E+19,FALSE,,,189 Queen St,FALSE,ChIJDRm8Jktd1moRXhrBVZUoQZE,"5XP5+8X Melbourne, Victoria, Australia",$$,8/10/2022 2:03,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,189 Queen St,,FALSE,"https://www.google.com/maps/place/Adina+Apartment+Hotel+Melbourne/@-37.8142469,144.9599771,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d4b26bc190d:0x9141289555c11a5e!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8142469!4d144.9599771?hl=en"
